original_station,replacement_station,distance_km,replacement_days_in_key_index,n_candidates_found,n_candidates_with_data,status
7B.SD06,AU.OOD,80.8,4507.0,224.0,126.0,OK
8P.CAV08,XJ.CHP,22.8,64.0,43457.0,17195.0,OK
4P.MAH64,TA.L65A,31.6,728.0,8651.0,1851.0,OK
X9.T2S4A,X9.T2S4B,1.3,82.0,259.0,251.0,OK
4P.NEL26,TA.L26A,19.3,681.0,23870.0,11678.0,OK
PS.JAY,XN.PADA,479.1,23.0,62.0,47.0,OK
8E.03023,8E.03018,0.0,24.0,336.0,324.0,OK
4P.WII40,N4.I40B,4.0,1263.0,8046.0,4103.0,OK
YY.OBS10,YY.OBS11,70.5,49.0,205.0,180.0,OK
BL.JNRB,BL.CRTB,226.5,204.0,150.0,72.0,OK
XN.A01,XN.B01,11.7,685.0,3180.0,988.0,OK
XN.BABAY,XN.SERUI,53.8,23.0,22.0,14.0,OK
XF.STC5,,,,,,"FDSN query failed: FDSNBadRequestException: Bad request. If you think your request was valid please contact the developers.
HTTP Status code: 400
Detailed response of server:

Error 400 BAD_REQUEST: Invalid minlat (format exception):expected a value between -90 and 90 but received(-92.396378)
Request:
https://service.earthscope.org/fdsnws/station/1/query?minlatitude=-92.396378&maxlatitude=-72.396378&minlongitude=-144.74556&maxlongitude=-124.74556000000001&level=station
Request Submitted:
2026-09-23T20:55:50
Service version:1.1.57
          build:0.0.0-SNAPSHOT"
9G.SA015,9G.AB313,3.7,17.0,27450.0,14795.0,OK
BL.BRSB,BL.PARB,89.4,184.0,147.0,72.0,OK
9G.AB317,9G.SA175,26.7,31.0,15180.0,6664.0,OK
ZU.TXE30,TA.530A,11.3,695.0,18844.0,7627.0,OK
7B.SB03,AU.INKA,106.5,4578.0,285.0,165.0,OK
ZU.MSB45,TA.245A,20.4,673.0,12381.0,3675.0,OK
GY.A11,GY.A12,0.0,345.0,185.0,160.0,OK
BL.CAMB,ON.CAM01,24.0,3328.0,134.0,68.0,OK
ZA.A20,ZA.B17,3.9,401.0,51.0,51.0,OK
SN.WG02,XA.AZ09,0.2,3.0,60593.0,28444.0,OK
X1.LW2,,,,,,"FDSN query failed: FDSNBadRequestException: Bad request. If you think your request was valid please contact the developers.
HTTP Status code: 400
Detailed response of server:

Error 400 BAD_REQUEST: Invalid minlat (format exception):expected a value between -90 and 90 but received(-90.972198)
Request:
https://service.earthscope.org/fdsnws/station/1/query?minlatitude=-90.972198&maxlatitude=-70.972198&minlongitude=138.032104&maxlongitude=158.032104&level=station
Request Submitted:
2026-09-23T20:56:35
Service version:1.1.57
          build:0.0.0-SNAPSHOT"
ZU.ALB50,TA.350A,14.9,572.0,14108.0,3579.0,OK
2F.S04,2F.S03,2.2,76.0,606.0,417.0,OK
4P.WIF39,TA.F39A,16.4,673.0,6295.0,3414.0,OK
4P.ALY50,TA.Z50A,16.3,861.0,14587.0,3774.0,OK
XA.S16,Z1.Z02K,982.5,553.0,238.0,25.0,OK
YR.S021,YR.S022,12.1,33.0,34465.0,15099.0,OK
4P.MTE22,US.LAO,13.6,7734.0,13676.0,6678.0,OK
XB.NRT6,XB.NRT7,14.5,20.0,1026.0,796.0,OK
5C.IL17,5C.IL23,0.2,294.0,3408.0,1058.0,OK
YY.TABO,ZF.YAYE,2.5,213.0,556.0,500.0,OK
4P.NCT60,TA.W61A,33.7,697.0,13830.0,2819.0,OK
NP.7210,MB.MSO,7.9,130.0,39062.0,18171.0,OK
ZU.ARY40,TA.Y40A,23.0,651.0,13455.0,6482.0,OK
YH.G03,3H.G59,58.3,453.0,111.0,102.0,OK
4P.UTN19,TA.N19A,6.3,616.0,46353.0,22274.0,OK
4P.KSQ35,US.KSU1,1.5,8386.0,15115.0,7845.0,OK
XG.WSG,TA.S25A,13.3,676.0,27120.0,12366.0,OK
YM.NTW4,CN.BVCY,30.6,5594.0,2403.0,1391.0,OK
QC.00877,,,,,,"FDSN query failed: FDSNBadRequestException: Bad request. If you think your request was valid please contact the developers.
HTTP Status code: 400
Detailed response of server:

Error 400 BAD_REQUEST: Invalid maxlon (format exception):expected a value between -180 and 180 but received(182.565002)
Request:
https://service.earthscope.org/fdsnws/station/1/query?minlatitude=-53.489498&maxlatitude=-33.489498&minlongitude=162.565002&maxlongitude=182.565002&level=station
Request Submitted:
2026-09-23T20:58:00
Service version:1.1.57
          build:0.0.0-SNAPSHOT"
7D.KA05,AU.KIM08,57.1,1657.0,258.0,152.0,OK
4P.MTB18,TA.B18A,5.7,661.0,19089.0,7452.0,OK
4P.MIC41,4P.MID41,72.3,22.0,7750.0,2734.0,OK
ZC.TIN1,XO.TIN3,0.0,356.0,202.0,180.0,OK
PS.TSK,JP.JYT,7.6,4553.0,110.0,48.0,OK
XG.CES,TA.P29A,25.9,691.0,23923.0,11700.0,OK
ZU.214,ZU.215,15.2,33.0,3695.0,1184.0,OK
XF.L02,XF.B07,17.1,376.0,207.0,181.0,OK
4P.NHC60,TA.G61A,30.3,672.0,8160.0,1373.0,OK
ZU.MSW46,ZL.B03X,24.8,695.0,12422.0,3996.0,OK
XC.FL014,TA.058A,50.2,609.0,8228.0,2546.0,OK
4P.UTQ13,XH.GAR,6.5,215.0,61944.0,29480.0,OK
HG.EIL,GE.EIL,13.3,10376.0,1905.0,364.0,OK
XW.SS20,XW.SS19,14.8,42.0,2126.0,704.0,OK
4P.WYJ23,TA.J23A,6.1,694.0,21644.0,8681.0,OK
XY.BONG,YZ.ACHA,9.4,1053.0,1757.0,766.0,OK
8P.CAS04,YU.PLA,18.4,1730.0,48293.0,22999.0,OK
4P.UTQ17,UU.OPUT,8.2,105.0,47929.0,21012.0,OK
ZL.JYCE,ZL.TRIO,35.9,65.0,871.0,362.0,OK
N4.ABTX,TA.ABTX,0.0,3461.0,19035.0,8145.0,OK
ZU.TXJ34,TA.933A,68.2,679.0,17357.0,7459.0,OK
4P.WYK20,XC.Y35,14.3,282.0,38747.0,19929.0,OK
X6.RB1,X6.RB2,0.0,25.0,996.0,805.0,OK
ZV.OBS02,AV.AUL,9.8,4468.0,2968.0,1495.0,OK
C8.LR4Q,C8.LR3Q,24.6,71.0,1244.0,352.0,OK
MU.OXET,MU.OXSV,92.1,31.0,860.0,757.0,OK
XF.NJANA,YL.JANA,0.0,203.0,1848.0,959.0,OK
ZU.REY18,ZU.AZY18,0.2,31.0,39789.0,17020.0,OK
ZO.HVU2,UU.HVU,0.1,15162.0,58432.0,28061.0,OK
CS.GUM,II.KIV,41.8,13593.0,1056.0,466.0,OK
XC.FL022,TA.061Z,59.1,635.0,6355.0,1886.0,OK
HV.HSSD,HV.PLAD,8.6,5627.0,3697.0,1186.0,OK
4P.KSR37,TA.R37A,7.9,711.0,13298.0,7078.0,OK
ZA.A11,ZA.A12,20.2,22.0,108.0,72.0,OK
YY.OBS43,YY.OBS44,25.2,326.0,208.0,182.0,OK
XL.KITT2,XL.KITT1,3.1,222.0,37230.0,16327.0,OK
4P.NEN28,US.OGNE,37.1,7107.0,24093.0,11715.0,OK
XJ.E40,YJ.MELE,6.0,427.0,2009.0,549.0,OK
8P.AZV14,TA.V14A,30.5,608.0,51363.0,21457.0,OK
4P.MNF34,TA.F34A,22.0,685.0,6359.0,3380.0,OK
ID.ALE,,,,,,"FDSN query failed: FDSNBadRequestException: Bad request. If you think your request was valid please contact the developers.
HTTP Status code: 400
Detailed response of server:

Error 400 BAD_REQUEST: Invalid maxlat (format exception):expected a value between -90 and 90 but received(92.483597)
Request:
https://service.earthscope.org/fdsnws/station/1/query?minlatitude=72.483597&maxlatitude=92.483597&minlongitude=-72.400002&maxlongitude=-52.400002&level=station
Request Submitted:
2026-09-23T21:01:15
Service version:1.1.57
          build:0.0.0-SNAPSHOT"
4P.NVM10,TA.M10A,7.5,837.0,60226.0,29029.0,OK
4P.MIE44,TA.F44A,49.8,633.0,9180.0,3260.0,OK
4P.MNB36,4P.MNB35,56.4,25.0,2720.0,2225.0,OK
7D.KA07,AU.KIM05,24.3,1710.0,185.0,110.0,OK
ZU.TXE33,TA.532A,31.3,681.0,18621.0,7849.0,OK
9G.BC009,TA.A10A,35.1,590.0,31590.0,14586.0,OK
2A.28,2A.29,82.1,358.0,28.0,10.0,OK
XO.SCCC,4P.NYI59,29.3,13.0,11403.0,2464.0,OK
Y3.MEL01,YJ.MEL01,0.0,162.0,1468.0,620.0,OK
DW.GDH,DK.GDH,0.0,855.0,125.0,105.0,OK
ZU.LAD42,TA.441A,33.3,665.0,13634.0,6236.0,OK
XW.SS61,XW.SS68,14.4,34.0,2191.0,760.0,OK
NJ.KAD,AF.KAD,0.5,562.0,65.0,36.0,OK
ZU.NMA25,SC.HOP,14.4,243.0,22052.0,8933.0,OK
3R.E05,ZB.B10,31.2,142.0,1136.0,901.0,OK
