key1,key2,distance_km,shared_days
IU.YSS,JP.ASAJ,316.0515961118722,2078
G.SSB,GE.MAHO,598.9977937452664,2077
AK.C16K,AK.O14K,1022.4247067893156,2068
C1.CO05,C1.AC02,400.12152196552586,2059
NR.NE75,CI.CIA,863.2896508294581,2049
NM.SCMO,US.ECSD,744.5653906026404,2047
YT.THUR,YT.MCRG,157.66380304011395,2028
CI.CIA,NR.NE74,732.5054477555792,2017
AK.E27K,AK.C27K,181.10546733645285,2010
TD.TD009,PQ.NBC3,856.8539829075469,2010
ON.RIB01,ON.GDU01,628.1421328965096,1998
GE.APE,MN.WDD,993.3021748344395,1979
TW.KMNB,TW.MATB,244.38506672091566,1971
AK.K15K,AK.C16K,687.9342042947526,1962
AK.M11K,AK.M14K,235.24753291546327,1956
AK.C16K,AK.D20K,358.90069996338065,1945
CM.LCBC,EC.TULM,918.7818715167269,1940
AK.C16K,AK.M16K,860.718152702798,1935
CU.GRGR,VE.BAUV,783.0547101940518,1933
PB.GUAX,BC.TJX,420.13965491571406,1922
AK.C16K,AK.G19K,426.8401871752643,1903
MN.PDG,GE.TIRR,772.0350789954924,1896
CI.CIA,NR.NE81,972.2127411921314,1880
II.KWAJ,IU.TARA,1015.4213486441542,1865
AF.TEZI,IU.LSZ,238.5110629336466,1844
AK.F21K,AK.C16K,512.0687720801099,1841
YT.AGO3,YT.HOWE,1092.930469335291,1833
S1.AUCAR,S1.AUBUS,989.9115172892534,1828
AF.GRM,AF.CVNA,665.1290693977069,1825
YT.AGO1,YT.HOWE,697.5073851377201,1822
MN.WDD,GE.SKD,850.9478435598237,1811
IC.HIA,5G.D10,1075.1243802061065,1807
GE.HLG,GE.RGN,354.4692929895584,1795
CU.BBGH,TR.DLPL,303.88497175028573,1790
ZM.N140,YT.SURP,1081.2203387903785,1763
NN.DIX,CI.PDM,704.2175485387748,1757
IM.TX02,NR.NE82,608.777102167699,1756
NC.G005,PB.B934,142.8964446839831,1749
CI.CIA,NR.NE80,659.2279434465171,1741
AK.J17K,AK.G27K,895.5686283671721,1718
ON.ABR01,BL.PMNB,820.2179849605751,1715
YT.AGO3,YT.SWEI,928.4095879877269,1713
G.FOMA,AF.SKRH,330.45295536609984,1710
S1.AUCAR,S1.AUKAR,562.1242314188378,1685
S1.AUBRM,S1.AUKAR,647.4244494387992,1681
MP.KAR2,II.RAYN,1013.1185757914762,1674
BX.PHPEN,AF.SNKL,578.2475490094655,1661
PQ.KLONY,AK.V35K,1077.9960416774618,1660
CU.BBGH,TR.TOSP,230.969299895255,1656
S1.AUNHS,S1.AUDHS,647.0079799584055,1656
AK.E18K,AK.C27K,727.2001128184883,1631
2O.BTL04,S1.AUDHS,504.89160193135297,1625
NN.DIX,RE.BRBY3,604.2133847499621,1619
AK.J26L,AK.A22K,864.965775217763,1590
2O.BTL04,S1.AUALC,872.6217856112585,1590
PM.PMOZ,IU.MACI,512.7320182081941,1573
ZM.P061,ZM.N140,372.94218600901064,1571
ON.NAN01,ON.GDU01,462.3513764679875,1549
NR.NE75,NR.NE79,559.1334940527898,1545
IE.IRCI,MB.HRY,355.72897526597967,1516
TM.CMAI,TM.SRDT,615.8186852178358,1514
YS.TL06,II.KAPI,834.255108337175,1511
MM.TGI,XR.BA07,681.0653840016846,1501
QZ.CHM,II.AAK,404.6724155776049,1501
II.ARTI,QZ.ALGA,716.0228894182064,1500
QZ.FDRN,QZ.ALGA,409.2827528456088,1499
RV.KAKWA,AK.V35K,813.3739341566267,1498
QZ.INDER,QZ.ALGA,432.9485488290587,1493
II.NNA,TO.PE03,791.7243898817837,1493
S1.AUDHS,S1.AUKAT,274.14294173713216,1492
QZ.AKST,QZ.CHM,655.3441315508795,1489
QZ.INDER,AB.HASN,1038.1343761963894,1484
QZ.SEM,II.AAK,968.8998851749791,1484
AK.GLB,PQ.TUKN,1016.7378072948654,1482
PQ.TUKN,PQ.ULUN,592.9241040866825,1479
LD.FRNY,PO.ACTO,533.4545821394105,1457
IM.TX02,MG.JRQG,1012.503139449288,1448
QZ.CHM,QZ.BRZS,881.6161761595333,1447
QZ.ZSN,II.AAK,974.2849835981935,1440
IC.HIA,5G.D16,983.89308355899,1438
AF.POGA,AF.BLWY,860.575843629951,1425
Y2.GUGE,Y2.PURG,209.42393362351538,1416
II.FFC,Y5.FMC,633.4184569942635,1400
AK.A19K,AK.K13K,933.4184320920439,1392
II.FFC,Y5.HON,771.8343787626179,1385
IM.TX02,NR.NE83,651.7407439233384,1373
CD.WMQ,II.AAK,1076.4070309622925,1371
