station,n_connections,connected_to
TX.BRDY,17,4O.GV01;7P.PC53;GS.KS24;IM.TX02;JW.BRR;MX.HPIG;MX.ZAIG;NM.WADM;O2.SC12;OK.HEWI;TX.435B;TX.DKNS;TX.ELG6;US.AMTX;US.MVCO;Z7.LA01;ZZ.FWU17
NU.ESPN,17,CM.LCBC;CM.MAP;CM.PRV;CM.SJC;CY.CBCY;GI.AVPA;GI.PETF;IU.TEIG;JM.CVJB;JM.NMIA0;NU.BILN;NU.CSGN;NU.SIUN;OV.CCOL;TC.ICC3;TC.TRT1;ZB.B01
X8.QM38,17,LD.FRNY;N4.K50A;N4.R61A;PO.ACTO;PO.LATQ;PO.MATQ;PO.MEDO;US.GLMI;WU.TOBO;X8.QM58;X8.QM76;X8.QM90;X8.QMM5;XY.PACW;Y6.HOLY;Y6.MALY;ZN.DC34
TO.PH20,17,II.NNA;TO.PE03;TO.PG01;TO.PG20;XP.LZAE;XP.PLTP;YS.PARW;ZD.FM03;ZD.FM06;ZD.FM09;ZD.FN11;ZD.FS07;ZG.CB14;ZG.CB34;ZG.CP07;ZG.CP12;ZG.CP13
DK.NEEM,17,1E.CNF;1E.TQF;1E.WHI;DK.DBG;DK.ICESG;DK.KULLO;DK.NOR;GE.DAG;GE.SUMG;KP.UPNV;XF.NE1;XF.NE2;XF.NE3;XF.NE4;XF.NE5;XF.NE6;YM.KASE
KO.KARS,17,3K.NIKI;MP.AMR2;MP.DHK1;MP.KAR2;RU.ANN;RU.ERBR;RU.R27;RU.VSLR;XA.GP03;YB.AT06;YB.AT19;YB.AT39;YB.AT44;YB.AT49;YB.AT56;YB.AT63;YH.KO07
XK.W10LW,16,AF.BLWY;AF.KTWE;AF.PWET;AF.TEZI;IU.LSZ;XK.Q05MJ;XK.Q07MR;XK.W02NB;XK.W12MB;XK.W15SS;XK.Z04NN;XK.Z09CG;XV.NAPU;XV.SENA;XV.TETE;YQ.MATA
ZV.MAQU,16,8B.402;8B.416;8B.430;IC.XAN;X4.A01;X4.D08;X4.D11;X4.D26;X4.H01;X4.H05;X4.H13;X4.H19;X4.H22;XO.JSO2;ZV.GUNA;ZV.LORI
ZM.N156,16,G.CCD;XD.PSP03;YT.MILR;ZM.GM01;ZM.GM02;ZM.GM03;ZM.GM04;ZM.GM06;ZM.GM07;ZM.N140;ZM.N173;ZM.N190;ZM.N215;ZM.P061;ZM.P080;ZM.P124
AF.RUDU,16,A7.LUBAN;AF.BLWY;AF.WIN;BX.KGCAE;BX.KHWEE;BX.KOOLE;BX.LKGWB;BX.PHPEN;BX.XAUDM;Z1.Z01J;Z1.Z09L;Z1.Z16N;Z1.Z21G;Z1.Z34S;ZT.CRAIL;ZT.NHAM
RV.KAKWA,16,AK.V35K;CC.YOCR;I0.RD179;II.FFC;MB.HRY;NV.BACME;NY.TGTN;PQ.LHLYB;PQ.NAB2;PQ.NBC8;RV.ASHMA;RV.DEDWA;RV.SWHSA;TD.TD009;US.HAWA;YI.QCB01
S1.AUKAL,16,IM.H01W2;IM.I04H3;M8.AI45;M8.AM37;M8.AQ41;M8.AU41;M8.AU52;M8.AY41;M8.AY52;M8.MUKOZ;M8.TEFOZ;M8.WATNG;S1.AUALB;S1.AUBUS;S1.AUCAR;S1.AUMAZ
XE.ES31,16,IC.LSA;XE.ES03;XE.ES11;XE.ES18;XE.ES19;XE.ES28;XE.SP18;YA.MC02;YA.MC05;YA.MC08;YA.MC10;YA.MC12;YA.MC14;YA.MC16;YA.MC17;YA.MC21
NU.SIUN,16,6Q.FEC2;9R.OBS16;CM.LCBC;CM.PRV;CW.CAMR;CW.SOR;CY.CBCY;GI.AVPA;GI.HUBA;GI.PETF;JM.CVJB;NU.BILN;NU.CSGN;NU.ESPN;SV.RBDL;YG.INC37
XT.PNCH,16,VE.BAUV;VE.CAIV;VE.ELOV;VE.GUNV;VE.IMOV;VE.JACV;VE.LUEV;VE.PAYV;VE.RIOV;XT.ABPC;XT.B151;XT.CMPC;XT.MHTO;XT.MIPC;XT.RPPC2;XT.SOMB
XO.WD60,16,AK.FALS;AK.SPIA;AT.MID;AT.SVW2;XO.EP16;XO.EP23;XO.ET20;XO.KD02;XO.LA32;XO.LD42;XO.WD49;XO.WD54;XO.WD58;XO.WD67;XO.WD69;XO.WD72
TO.PG20,16,II.NNA;TO.PE03;TO.PG01;TO.PH20;YS.PARW;ZD.FM03;ZD.FM06;ZD.FM09;ZD.FN11;ZD.FS07;ZG.CB14;ZG.CB34;ZG.CP07;ZG.CP12;ZG.CP13;ZG.CP19
XT.CMPC,16,VE.BAUV;VE.CAIV;VE.ELOV;VE.GUNV;VE.IMOV;VE.JACV;VE.LUEV;VE.PAYV;VE.RIOV;XT.ABPC;XT.B151;XT.MHTO;XT.MIPC;XT.PNCH;XT.RPPC2;XT.SOMB
XI.SC14,16,LD.FRNY;NM.SCMO;PO.ACTO;PO.LATQ;PO.MATQ;PO.MEDO;US.ECSD;US.GLMI;WU.TOBO;X8.QM90;XI.SC04;XI.SC09;XI.SC10;XI.SM37;XI.SN44;XY.PACW
XT.SOMB,16,VE.BAUV;VE.CAIV;VE.ELOV;VE.GUNV;VE.IMOV;VE.JACV;VE.LUEV;VE.PAYV;VE.RIOV;XT.ABPC;XT.B151;XT.CMPC;XT.MHTO;XT.MIPC;XT.PNCH;XT.RPPC2
NO.JMIC,16,8F.VIGR;DK.DBG;DK.SCO;DK.SOEG;GE.DAG;GE.SUMG;IU.KBS;PL.HSPB;XF.NE1;XF.NE4;XF.NE5;Y1.N7001;YB.IF01;Z7.FAG;ZR.N1306;ZR.N1312
XT.ABPC,16,VE.BAUV;VE.CAIV;VE.ELOV;VE.GUNV;VE.IMOV;VE.JACV;VE.LUEV;VE.PAYV;VE.RIOV;XT.B151;XT.CMPC;XT.MHTO;XT.MIPC;XT.PNCH;XT.RPPC2;XT.SOMB
YU.MD04,16,CM.PRV;CM.RUS;CM.SJC;CW.CHIV;CW.GNEO;LO.LOBA2;OV.CCOL;TC.TRT1;VE.BAUV;YU.GJ03;YU.NL02;YU.NL10;YU.SL02;YU.SL09;ZC.HMDR;ZC.SODR
TO.PG01,16,II.NNA;TO.PE03;TO.PG20;TO.PH20;YS.PARW;ZD.FM03;ZD.FM06;ZD.FM09;ZD.FN11;ZD.FS07;ZG.CB14;ZG.CB34;ZG.CP07;ZG.CP12;ZG.CP13;ZG.CP19
X8.QM90,16,LD.FRNY;PO.ACTO;PO.LATQ;PO.MATQ;PO.MEDO;US.GLMI;WU.TOBO;X8.QM38;X8.QM58;X8.QM76;X8.QMM5;XI.SC04;XI.SC09;XI.SC10;XI.SC14;Y6.HOLY
XT.B151,16,VE.BAUV;VE.CAIV;VE.ELOV;VE.GUNV;VE.IMOV;VE.JACV;VE.LUEV;VE.PAYV;VE.RIOV;XT.ABPC;XT.CMPC;XT.MHTO;XT.MIPC;XT.PNCH;XT.RPPC2;XT.SOMB
BX.XAUDM,16,A7.LUBAN;AF.RUDU;AF.UPI;AF.WIN;BX.KGCAE;BX.KHWEE;BX.KOOLE;BX.LKGWB;BX.PHPEN;Z1.Z01J;Z1.Z16N;Z1.Z21G;Z1.Z34S;ZT.CRAIL;ZT.NHAM;ZT.WTBG
7C.MM30,16,7C.MM17;7C.MM26;7C.MM40;AK.FYU;AK.GLB;AK.PAX;AT.MID;NY.MAYO;NY.TGTN;NY.WGLY;PQ.NAB2;PQ.NBC3;PQ.NBC8;RV.DEDWA;XJ.SNOW;YG.GLN4
ZP.ISOK,16,6H.INCA;AF.KTWE;AF.LBB;AF.PWET;AF.TEZI;IU.LSZ;YH.IFAK;YH.MOHO;YH.MTWA;YH.WALE;ZP.KAMZ;ZP.KASM;ZP.KISH;ZP.MKUS;ZP.MPIK;ZP.MWEN
XM.ANB10,16,4Q.UT19;C1.AC02;C1.CO05;GT.CPUP;XM.ANB03;XM.ANB07;XM.ANB09;XM.ANB11;XM.ANB16;XM.ANB17;XM.ANB18;XM.ANB19;XM.ANB20;XM.ASB22;XM.CB01;XM.CB22
IN.SHL,16,IC.LSA;IO.EVN;K5.MONG;MM.KTN;MM.MDY;MM.NGU;MM.SIM;MM.TGI;MM.YGN;TM.CMAI;TM.CRAI;XR.BA07;XR.MS02;XR.MS05;XR.MS09;Z6.BRDL
YS.PL61,16,YS.MRKH;YS.NGOK;YS.PL37;YS.PL44;YS.PL45;YS.PL46;YS.PL50;YS.PL57;YS.PL59;YS.PL62;YS.PL63;YS.PL67;YS.PL68;YS.PL69;YS.PL70;YS.PL71
ZP.KASM,16,AF.KTWE;AF.LBB;AF.MONG;AF.PWET;AF.TEZI;IU.LSZ;YH.IFAK;YH.MOHO;YH.MTWA;YH.WALE;ZP.ISOK;ZP.KAMZ;ZP.KISH;ZP.MKUS;ZP.MPIK;ZP.MWEN
C8.FORQ,16,7K.AN4;7O.ABNH;C8.PCAQ;LD.FRNY;N4.E62A;N4.G65A;PE.PAKC;PE.PBL2;PE.PSSK;PO.LATQ;PO.MATQ;PO.NANL;PO.NWRL;WU.TOBO;X8.COSY;YM.MHCG
OZ.MARG,16,M8.MOGAR;M8.RUGBY;OZ.BOGA;OZ.CURRY;OZ.DTMM;OZ.GRASY;OZ.MILD;OZ.MRAT;OZ.ROBE;OZ.ROWM;OZ.TOT;S1.AUGRF;S1.AUHPC;S1.AUTAR;S1.AUTKS;S1.AUUHS
YA.MC16,16,IC.QIZ;IC.XAN;XE.ES11;XE.ES18;XE.ES19;XE.ES28;XE.ES31;XE.SP18;YA.MC02;YA.MC05;YA.MC08;YA.MC10;YA.MC12;YA.MC14;YA.MC17;YA.MC21
XT.MHTO,16,VE.BAUV;VE.CAIV;VE.ELOV;VE.GUNV;VE.IMOV;VE.JACV;VE.LUEV;VE.PAYV;VE.RIOV;XT.ABPC;XT.B151;XT.CMPC;XT.MIPC;XT.PNCH;XT.RPPC2;XT.SOMB
CW.CCCC,16,9R.OBS16;CM.PRV;CU.GRTK;CW.CAIB;CW.CAMR;CW.CHIV;CW.SOR;CY.CBCY;JM.CVJB;JM.NMIA0;LO.LOBA2;N4.060A;NU.BILN;PR.IMPR;ZC.HMDR;ZC.SODR
YS.PL39,16,YS.MRKH;YS.NGOK;YS.PL37;YS.PL38;YS.PL40;YS.PL41;YS.PL43;YS.PL44;YS.PL45;YS.PL46;YS.PL50;YS.PL67;YS.PL68;YS.PL69;YS.PL70;YS.PL71
HT.LKD,16,GE.APE;GE.PSZ;GE.TIRR;GE.ZKR;MN.DIVS;MN.VSL;MN.VTS;MN.WDD;XS.S009;XS.S037;XS.S040;YG.CBP2J;YG.CBP4F;YG.CBP4N;YI.BARR;YI.GROG
M8.AY41,16,M8.AI45;M8.AM37;M8.AQ41;M8.AU41;M8.AU52;M8.AY52;M8.MUKOZ;M8.TEFOZ;M8.WATNG;S1.AUALB;S1.AUAPY;S1.AUBUS;S1.AUCAR;S1.AUKAL;S1.AUKAR;S1.AUMAZ
I0.RD179,16,CC.YOCR;IE.BCYI;IE.IRCI;II.FFC;MB.HRY;NV.BACME;PQ.LHLYB;PQ.NBC8;RV.ASHMA;RV.DEDWA;RV.KAKWA;RV.SWHSA;TD.TD009;UO.RSBO;US.DGMT;WY.YHR
XM.ANB11,16,C1.AC02;C1.CO05;GT.CPUP;XM.ANB03;XM.ANB07;XM.ANB09;XM.ANB10;XM.ANB16;XM.ANB17;XM.ANB18;XM.ANB19;XM.ANB20;XM.ASB20;XM.ASB22;XM.CB01;XM.CB22
JM.CVJB,16,CM.LCBC;CM.PRV;CM.SJC;CU.GRTK;CW.CAIB;CW.CAMR;CW.CCCC;CW.CHIV;CW.SOR;CY.CBCY;LO.LOBA2;NU.BILN;NU.ESPN;NU.SIUN;ZC.HMDR;ZC.SODR
BX.KOOLE,16,AF.BLWY;AF.CVNA;AF.HVD;AF.RUDU;AF.SNKL;AF.UPI;AF.WIN;BX.KGCAE;BX.KHWEE;BX.LKGWB;BX.PHPEN;BX.XAUDM;ZT.CRAIL;ZT.DULL;ZT.NHAM;ZT.WTBG
GE.MAHO,16,CH.FUORN;G.SSB;GE.CART;GE.MELI;GE.MTE;MN.BNI;MN.CLTB;MN.VSL;MN.WDD;YD.GROM;YD.MMNN;YF.DUOK;YF.HVAR;YI.BARR;YI.BOB;YI.GROG
8A.BAHE,16,8A.AIAI;8A.AROB;8A.GAMM;8A.HAO;8A.KANO;8A.MALT;8A.NEPA;8A.OKAM;8A.OMUT;8A.OTJO;8A.SOLI;8A.WAND;8A.WEWE;AF.UPI;AF.WIN;NR.NE215
XK.W12MB,16,AF.BLWY;AF.KTWE;AF.PWET;AF.TEZI;IU.LSZ;XK.Q05MJ;XK.Q07MR;XK.W02NB;XK.W10LW;XK.W15SS;XK.Z04NN;XK.Z09CG;XV.NAPU;XV.SENA;XV.TETE;YQ.MATA
XV.MAHA,16,AF.SKRH;G.FOMA;MR.MRIV;XV.AMPY;XV.ANLA;XV.ANTS;XV.BAND;XV.BANJ;XV.BITY;XV.LAHA;XV.MAJA;XV.MMBE;XV.SOLA;XV.VATO;XV.VINA;XV.ZOBE
OZ.HKER,16,OZ.BOGA;OZ.DTMM;OZ.GRASY;OZ.MILD;OZ.MRAT;OZ.ROBE;OZ.ROWM;OZ.TOT;S1.AUALC;S1.AUAPY;S1.AUCAS;S1.AUDCS;S1.AUGRF;S1.AUHPC;S1.AUJCS;S1.AUROX
NU.CSGN,16,6Q.FEC2;9R.OBS16;CM.PRV;GI.AVPA;GI.HUBA;GI.PETF;IU.TEIG;NU.BILN;NU.ESPN;NU.SIUN;OV.CCOL;SV.RBDL;TC.ICC3;TC.TRT1;YG.INC37;ZB.B01
JP.JHS,16,1U.SHRD;CB.DL2;JP.JGF;JP.JHJ2;JP.JMM;JP.JMN;JP.JMZ;JP.JNU;JP.JOW;JP.JSD;JP.JSU;JP.JTM;JP.JTU;JP.JWT;KG.TJN;KS.SH2B
BX.KHWEE,16,AF.HVD;AF.MOPA;AF.POGA;AF.RUDU;AF.SNKL;AF.UPI;AF.WIN;BX.KGCAE;BX.KOOLE;BX.LKGWB;BX.PHPEN;BX.XAUDM;ZT.CRAIL;ZT.DULL;ZT.NHAM;ZT.WTBG
1D.ELSW,16,1D.ATOL;1D.BREN;1D.FOWL;1D.KIBB;1D.PIG3;1D.WELC;YT.DUFK;YT.HOWD;YT.KOLR;YT.MECK;YT.RMBO;YT.SILY;YT.STEW;YT.THUR;YT.UPTW;YT.WAIS
KR.BTK,16,CK.MNAS;II.AAK;II.NIL;KN.ULHL;KR.SFK;KR.TRKS;KZ.OTUK;QZ.AKST;QZ.CHM;QZ.TDK;QZ.ZHTS;TF.KHO;TJ.CHGR;TJ.GEZN;TJ.MURGB;TJ.SHAA
YS.PL40,16,YS.MRKH;YS.NGOK;YS.PL37;YS.PL38;YS.PL39;YS.PL41;YS.PL43;YS.PL44;YS.PL45;YS.PL46;YS.PL50;YS.PL67;YS.PL68;YS.PL69;YS.PL70;YS.PL71
XA.SA38,16,XA.SA01;XA.SA03;XA.SA04;XA.SA10;XA.SA18;XA.SA20;XA.SA26;XA.SA29;XA.SA35;XA.SA60;XA.SA64;XA.SA71;XA.SA73;XA.SA76;XA.SA80;XA.SA81
NI.ZOU2,16,AC.VLO;CH.FUORN;CH.SLE;G.CLF;G.SSB;GB.HMNX;MN.BNI;MN.CLTB;MN.DIVS;MN.PDG;MN.VSL;MN.VTS;NL.HGN;PL.BEL;PL.KWP;PL.NIE
C1.LL05,16,1P.EIDA;1P.GUMN;1P.LVAN;1P.OHRS;1P.PMOR;3E.MEL15;C1.LL02;C1.LR04;C1.VA04;GT.PLCA;XM.ASB04;XM.ASB08;XM.ASB11;XM.ASB13;XM.ASB20;XM.ASB22
YA.MC21,16,IC.LSA;XE.ES03;XE.ES11;XE.ES18;XE.ES19;XE.ES28;XE.ES31;XE.SP18;YA.MC02;YA.MC05;YA.MC08;YA.MC10;YA.MC12;YA.MC14;YA.MC16;YA.MC17
XK.W02NB,16,AF.BLWY;AF.KTWE;AF.PWET;AF.TEZI;IU.LSZ;XK.Q05MJ;XK.Q07MR;XK.W10LW;XK.W12MB;XK.W15SS;XK.Z04NN;XK.Z09CG;XV.NAPU;XV.SENA;XV.TETE;YQ.MATA
8A.OTJO,16,8A.AIAI;8A.AROB;8A.BAHE;8A.GAMM;8A.HAO;8A.KANO;8A.MALT;8A.NEPA;8A.OKAM;8A.OMUT;8A.SOLI;8A.WAND;8A.WEWE;AF.UPI;AF.WIN;NR.NE215
DK.DY2G,16,9D.KNS;DK.ANGG;DK.ICESG;DK.KULLO;DK.NRS;DK.SCO;DK.SOEG;G.IVI;GE.SUMG;GG.SE1;KP.UPNV;XF.NE1;XF.NE2;XF.NE3;XF.NE5;YM.KASE
XO.WD67,16,AK.ATKA;AK.FALS;AK.SPIA;AT.SVW2;XO.EP16;XO.EP23;XO.ET20;XO.KD02;XO.LA32;XO.LD42;XO.WD49;XO.WD54;XO.WD58;XO.WD60;XO.WD69;XO.WD72
YA.MC02,16,IC.XAN;XE.ES03;XE.ES11;XE.ES18;XE.ES19;XE.ES28;XE.ES31;XE.SP18;YA.MC05;YA.MC08;YA.MC10;YA.MC12;YA.MC14;YA.MC16;YA.MC17;YA.MC21
YM.KASE,16,DK.ANGG;DK.DBG;DK.DY2G;DK.ICESG;DK.KULLO;DK.NEEM;DK.SCO;DK.SOEG;GE.SUMG;KP.UPNV;XF.NE1;XF.NE2;XF.NE3;XF.NE4;XF.NE5;XF.NE6
YA.MC14,16,IC.LSA;XE.ES03;XE.ES11;XE.ES18;XE.ES19;XE.ES28;XE.ES31;XE.SP18;YA.MC02;YA.MC05;YA.MC08;YA.MC10;YA.MC12;YA.MC16;YA.MC17;YA.MC21
DK.ANGG,16,8F.VIGR;9D.KNS;DK.DY2G;DK.ICESG;DK.NRS;DK.SCO;DK.SOEG;G.IVI;GE.SUMG;GG.SE1;KP.UPNV;XF.NE1;XF.NE2;XF.NE5;YM.KASE;Z7.FAG
XK.W15SS,16,AF.BLWY;AF.KTWE;AF.PWET;AF.TEZI;IU.LSZ;XK.Q05MJ;XK.Q07MR;XK.W02NB;XK.W10LW;XK.W12MB;XK.Z04NN;XK.Z09CG;XV.NAPU;XV.SENA;XV.TETE;YQ.MATA
YW.MSWL3,16,M8.MOGAR;OZ.AWOON;OZ.BOGA;OZ.CURRY;OZ.DTMM;OZ.GRASY;OZ.MILD;OZ.ROWM;OZ.TOT;S1.AUDCS;S1.AUGRF;S1.AUHPC;S1.AUMOU;S1.AUPHS;S1.AUTKS;S1.AUUHS
ZM.GM03,16,G.CCD;XD.PSP03;YT.MILR;ZM.GM01;ZM.GM02;ZM.GM04;ZM.GM06;ZM.GM07;ZM.N140;ZM.N156;ZM.N173;ZM.N190;ZM.N215;ZM.P061;ZM.P080;ZM.P124
YS.PL38,16,YS.MRKH;YS.NGOK;YS.PL37;YS.PL39;YS.PL40;YS.PL41;YS.PL43;YS.PL45;YS.PL46;YS.PL50;YS.PL63;YS.PL67;YS.PL68;YS.PL69;YS.PL70;YS.PL71
YA.MC10,16,IC.XAN;XE.ES03;XE.ES11;XE.ES18;XE.ES19;XE.ES28;XE.ES31;XE.SP18;YA.MC02;YA.MC05;YA.MC08;YA.MC12;YA.MC14;YA.MC16;YA.MC17;YA.MC21
XV.BAND,16,AF.SKRH;G.FOMA;XV.AMPY;XV.ANLA;XV.ANTS;XV.BANJ;XV.BITY;XV.DGOS;XV.LAHA;XV.MAHA;XV.MAJA;XV.MMBE;XV.NAPU;XV.SOLA;XV.VINA;XV.ZOBE
XM.ANB07,15,4Q.UT19;C1.AC02;C1.CO05;GT.CPUP;XM.ANB03;XM.ANB09;XM.ANB10;XM.ANB11;XM.ANB16;XM.ANB17;XM.ANB18;XM.ANB19;XM.ANB20;XM.CB01;XM.CB22
XT.MIPC,15,VE.BAUV;VE.CAIV;VE.ELOV;VE.GUNV;VE.IMOV;VE.JACV;VE.LUEV;VE.PAYV;VE.RIOV;XT.ABPC;XT.B151;XT.CMPC;XT.MHTO;XT.PNCH;XT.SOMB
VE.GUNV,15,VE.BAUV;VE.CAIV;VE.ELOV;VE.IMOV;VE.JACV;VE.LUEV;VE.PAYV;VE.RIOV;XT.ABPC;XT.B151;XT.CMPC;XT.MHTO;XT.MIPC;XT.PNCH;XT.SOMB
3D.MM15,15,3D.MM05;IU.MACI;MN.RTC;PM.PESTR;PM.PFVI;PM.PMOZ;XB.PM04;XB.PM18;XB.PM25;XB.PM35;XB.PS16;XB.PS37;XB.PS57;ZI.MB16;ZI.MB19
VE.RIOV,15,VE.BAUV;VE.CAIV;VE.ELOV;VE.GUNV;VE.IMOV;VE.JACV;VE.LUEV;VE.PAYV;XT.ABPC;XT.B151;XT.CMPC;XT.MHTO;XT.MIPC;XT.PNCH;XT.SOMB
MM.MDY,15,IC.LSA;IN.SHL;K5.MONG;MM.KTN;MM.NGU;MM.SIM;MM.TGI;MM.YGN;RM.SLV;TM.CRAI;TM.LOEI;TM.NAYO;TM.NONG;TM.PHRA;TM.SRDT
YU.GJ03,15,CM.PRV;CM.RUS;CM.SJC;CU.GRTK;CW.CHIV;CW.GNEO;LO.LOBA2;VE.BAUV;YU.MD04;YU.NL02;YU.NL10;YU.SL02;YU.SL09;ZC.HMDR;ZC.SODR
XR.FG01,15,GS.DEC08;IM.TX02;KY.LLKY;N4.237B;N4.L34B;N4.N41A;N4.P38B;N4.R32B;N4.R40B;N4.X48A;N4.Z38B;NM.WADM;US.AMTX;US.ECSD;US.MVCO
UO.TOMA,15,CC.YOCR;CI.CIA;IE.BCYI;IE.IRCI;MB.HRY;NN.DIX;NN.RUB;NN.SLVR;NV.BACME;PB.B934;PQ.LHLYB;RE.BRBY3;UO.LAIR;UO.RSBO;WY.YHR
ZP.KISH,15,6H.INCA;AF.KTWE;AF.LBB;AF.MONG;AF.PWET;AF.TEZI;IU.LSZ;YH.IFAK;YH.WALE;ZP.ISOK;ZP.KAMZ;ZP.KASM;ZP.MKUS;ZP.MPIK;ZP.MWEN
XI.SN44,15,4P.MBB03;II.FFC;NM.SCMO;PO.ACTO;US.DGMT;US.ECSD;US.GLMI;WU.TOBO;XI.SC04;XI.SC09;XI.SC10;XI.SC14;XI.SM37;XO.LE17;XO.MG05
YR.ED15,15,AC.VLO;CH.FUORN;CH.SLE;G.CLF;G.SSB;HL.RDO;HT.AGG;MN.BNI;MN.CLTB;MN.DIVS;MN.VSL;MN.VTS;NL.HGN;PL.KWP;PL.NIE
XS.S037,15,GE.APE;GE.PSZ;GE.TIRR;GE.ZKR;HT.LKD;MN.CLTB;MN.DIVS;MN.VTS;MN.WDD;XS.S009;XS.S040;YG.CBP2J;YG.CBP4N;YL.ARSL;YL.BEKI
JP.JOW,15,CB.NJ2;IC.SSE;IU.TATO;JP.JHS;JP.JMJ2;JP.JMN;JP.JMZ;JP.JNU;JP.JSU;JP.JTU;KG.TJN;TW.KMNB;YM.12;YM.37;YM.39
YS.PL63,15,YS.MRKH;YS.NGOK;YS.PL37;YS.PL38;YS.PL45;YS.PL50;YS.PL57;YS.PL59;YS.PL61;YS.PL62;YS.PL67;YS.PL68;YS.PL69;YS.PL70;YS.PL71
Z9.E31,15,GS.DEC08;KY.LLKY;N4.060A;N4.257A;N4.X48A;NM.SCMO;NM.WADM;XO.LE17;XO.MG05;XO.SOKY;XY.PACW;Z9.E07;Z9.W14;Z9.W315;ZL.N07A
X8.QM58,15,LD.FRNY;N4.K50A;PO.ACTO;PO.LATQ;PO.MATQ;PO.MEDO;US.GLMI;WU.TOBO;X8.QM38;X8.QM76;X8.QM90;X8.QMM5;XY.PACW;Y6.HOLY;Y6.MALY
S1.AUMAZ,15,IM.H01W2;IM.I04H3;M8.AI45;M8.AM37;M8.AQ41;M8.AU41;M8.AU52;M8.AY41;M8.AY52;M8.MUKOZ;M8.WATNG;S1.AUALB;S1.AUBUS;S1.AUCAR;S1.AUKAL
VE.ELOV,15,VE.BAUV;VE.CAIV;VE.GUNV;VE.IMOV;VE.JACV;VE.LUEV;VE.PAYV;VE.RIOV;XT.ABPC;XT.B151;XT.CMPC;XT.MHTO;XT.MIPC;XT.PNCH;XT.SOMB
NR.NE83,15,IM.TX02;NR.NE74;NR.NE75;NR.NE78;NR.NE79;NR.NE80;NR.NE81;NR.NE82;TO.MULU;XF.MA28;XF.MA36;XF.MA40;ZL.I02;ZL.N06;ZL.S05
M8.AU41,15,M8.AI45;M8.AM37;M8.AQ41;M8.AU52;M8.AY41;M8.AY52;M8.MUKOZ;M8.TEFOZ;M8.WATNG;S1.AUALB;S1.AUBUS;S1.AUCAR;S1.AUKAL;S1.AUKAR;S1.AUMAZ
KG.TJN,15,1U.SHRD;CB.DL2;CB.NJ2;CB.SNY;IC.SSE;JP.JGF;JP.JHS;JP.JMN;JP.JNU;JP.JOW;JP.JSD;JP.JSU;JP.JTU;JP.JWT;KS.SH2B
XV.LAHA,15,AF.SKRH;MR.MRIV;XV.ANLA;XV.ANTS;XV.BAND;XV.BANJ;XV.BITY;XV.DGOS;XV.MAHA;XV.MAJA;XV.MMBE;XV.SOLA;XV.VATO;XV.VINA;XV.ZOBE
VE.CAIV,15,VE.BAUV;VE.ELOV;VE.GUNV;VE.IMOV;VE.JACV;VE.LUEV;VE.PAYV;VE.RIOV;XT.ABPC;XT.B151;XT.CMPC;XT.MHTO;XT.MIPC;XT.PNCH;XT.SOMB
IU.TRQA,15,3A.L107;3A.L201;C.COCH;GT.PLCA;XH.ESP03;XY.U06B;XY.U54B;XY.U72B;YC.HEDI;YC.HUER;Z4.CP02;ZL.BARR;ZL.CHUM;ZL.COLO;ZL.NOQE
ZM.P080,15,XD.PSP03;YT.MILR;ZM.GM01;ZM.GM02;ZM.GM03;ZM.GM04;ZM.GM06;ZM.GM07;ZM.N140;ZM.N156;ZM.N173;ZM.N190;ZM.N215;ZM.P061;ZM.P124
XV.ANTS,15,AF.SKRH;XV.ANLA;XV.BAND;XV.BANJ;XV.BITY;XV.DGOS;XV.LAHA;XV.MAHA;XV.MAJA;XV.MMBE;XV.NAPU;XV.SOLA;XV.VATO;XV.VINA;XV.ZOBE
XO.LE17,15,KY.LLKY;NM.SCMO;PO.ACTO;PO.MEDO;US.ECSD;US.GLMI;WU.TOBO;XI.SM37;XI.SN44;XO.MG05;XY.PACW;Z9.E07;Z9.E31;Z9.W14;Z9.W315
XM.ASB04,15,C1.AC02;C1.CO05;C1.LL02;C1.LL05;C1.LR04;C1.VA04;GT.PLCA;XM.ANB19;XM.ANB20;XM.ASB08;XM.ASB11;XM.ASB13;XM.ASB19;XM.ASB20;XM.ASB22
XB.PS57,15,3D.MM05;3D.MM15;MN.RTC;PM.PESTR;PM.PFVI;TT.TAMR;TT.THTN;XB.PM04;XB.PM18;XB.PM25;XB.PM35;XB.PS16;XB.PS37;ZI.MB16;ZI.MB19
XK.Q07MR,15,AF.KTWE;IU.LSZ;XK.Q05MJ;XK.W02NB;XK.W10LW;XK.W12MB;XK.W15SS;XK.Z04NN;XK.Z09CG;XV.MAJA;XV.NAPU;XV.SENA;XV.TETE;XV.VINA;YQ.MATA
8A.AIAI,15,8A.AROB;8A.BAHE;8A.GAMM;8A.KANO;8A.MALT;8A.OKAM;8A.OMUT;8A.OTJO;8A.SOLI;8A.WAND;AF.CVNA;AF.HVD;AF.SNKL;AF.UPI;ZT.NHAM
CA.CFAR,15,1K.GIAN;1L.ST30;CA.CARA;CA.CPAL;CH.FUORN;CH.SLE;G.CLF;G.SSB;GB.JSA;MN.BNI;MN.RTC;MN.VSL;PM.PESTR;PM.PFVI;WM.UCM
