station,n_connections,connected_to
NM.WADM,42,6E.SB04;GS.DEC08;GS.KS24;KY.LLKY;N4.237B;N4.257A;N4.K43A;N4.K50A;N4.L34B;N4.N41A;N4.P38B;N4.P48A;N4.P51A;N4.R32B;N4.R40B;N4.R50A;N4.R53A;N4.V51A;N4.X48A;N4.Y60A;N4.Z38B;NM.EUAL;NM.SCMO;O2.SC12;OH.CROH;PE.PBL2;PE.PN1;TX.435B;TX.BRDY;TX.DKNS;US.AMTX;US.ECSD;US.GLMI;XO.SOKY;XR.FG01;Z7.LA01;Z9.E07;Z9.E31;Z9.W315;ZT.WEST;ZW.AZCF;ZZ.FWU17
NN.RUB,42,2D.OBS06;2D.OBS08;2D.OBS13;2D.OBS16;2D.OBS21;7D.FN16A;7D.G13B;7D.G26B;7D.G36D;7D.J20B;7D.J31C;7D.J36C;7D.J53C;AP.PVFF;BC.PIX;BC.SPX;BC.TJX;CC.YOCR;CI.CIA;CI.PDM;IE.BCYI;IE.IRCI;MB.HRY;NC.G005;NN.DIX;NN.SLVR;PB.B934;PQ.LHLYB;RE.BRBY3;TO.CC08;UO.LAIR;UO.RSBO;UO.TOMA;US.HAWA;US.MVCO;WY.YHR;X2.CRAT;X7.WA33;X9.BB240;X9.BB420;XD.C02;XT.D58
US.AMTX,41,4O.GV01;4P.MBB03;7P.PC53;AP.PVFF;EP.CHC4;GS.KS24;GS.OK006;IM.TX02;JW.BRR;MX.HPIG;N4.237B;N4.L34B;N4.P38B;N4.R32B;N4.R40B;N4.Z38B;NM.SCMO;NM.WADM;NR.NE80;NR.NE81;O2.SC12;OK.HEWI;TX.435B;TX.BRDY;TX.DKNS;TX.ELG6;US.ECSD;US.MVCO;X2.CRAT;XK.UT65;XO.MG05;XP.N16;XP.N20;XP.S29;XR.FG01;XR.SC25;Z7.LA01;ZL.N06M;ZL.N07A;ZW.AZCF;ZZ.FWU17
XY.PACW,41,6E.SB04;7A.BDEG;GS.DEC08;KY.LLKY;LD.FRNY;N4.257A;N4.E62A;N4.G65A;N4.K43A;N4.K50A;N4.N41A;N4.P48A;N4.P51A;N4.R50A;N4.R53A;N4.R61A;N4.V51A;N4.X48A;N4.Y60A;NM.SCMO;PO.ACTO;PO.LATQ;PO.MATQ;PO.MEDO;US.GLMI;WU.TOBO;X8.QM38;X8.QM58;XI.SC14;XO.LE17;XO.SOKY;YO.D03;YO.X01;YO.X03;YO.X06;YO.X09;YO.X10;Z9.E07;Z9.E31;Z9.W14;Z9.W315
YT.FALL,41,XD.PSP03;XH.DR02;XH.DR15;XH.DR16;XH.RS02;XH.RS06;XH.RS08;XH.RS10;XH.RS12;XH.RS15;XH.RS17;YT.AGO1;YT.BENN;YT.CLRK;YT.DEVL;YT.DUFK;YT.HOWE;YT.KOLR;YT.MA06;YT.MA07;YT.MA09;YT.MILR;YT.MPAT;YT.PECA;YT.RMBO;YT.SILY;YT.SIPL;YT.ST01;YT.ST02;YT.ST04;YT.ST07;YT.ST10;YT.ST14;YT.STEW;YT.SURP;YT.SWEI;YT.UPTW;YT.WAIS;YT.WILS;YT.WNDY;ZM.P061
YT.WAIS,40,1D.ELSW;1D.FOWL;1D.PIG3;7U.TJTJ;XH.RS08;XH.RS10;XH.RS12;XH.RS15;XH.RS17;YT.BENN;YT.CLRK;YT.DUFK;YT.FALL;YT.HOWD;YT.HOWE;YT.KOLR;YT.LPLY;YT.MA06;YT.MA07;YT.MA09;YT.MCRG;YT.MECK;YT.MPAT;YT.MTAK;YT.PECA;YT.RMBO;YT.SILY;YT.SIPL;YT.ST01;YT.ST02;YT.ST04;YT.ST07;YT.ST10;YT.ST14;YT.STEW;YT.SURP;YT.THUR;YT.UPTW;YT.WILS;YT.WNDY
CI.CIA,39,2D.OBS06;2D.OBS08;2D.OBS13;2D.OBS16;2D.OBS21;AP.PVFF;BC.PIX;BC.SPX;BC.TJX;CI.PDM;JW.BRR;NC.G005;NN.DIX;NN.RUB;NN.SLVR;NR.NE74;NR.NE75;NR.NE80;NR.NE81;PB.B934;PB.GUAX;RE.BRBY3;TO.CC08;UO.TOMA;US.KNB;US.MVCO;X2.CRAT;XC.OR088;XC.OR100;XD.C02;XE.SNP22;XE.SNPG9;XK.UT65;XM.NM32;XM.UT52;XP.N16;XQ.ME10;XQ.ME62;ZL.N06
AK.J26L,39,AK.A19K;AK.A22K;AK.C16K;AK.C18K;AK.C27K;AK.D20K;AK.D22K;AK.DCPH;AK.E18K;AK.E19K;AK.E24K;AK.E27K;AK.F21K;AK.FYU;AK.G19K;AK.G27K;AK.GLB;AK.H21K;AK.J17K;AK.J19K;AK.K13K;AK.K15K;AK.M14K;AK.M16K;AK.O14K;AK.PAX;AK.PPLA;AK.PS01;AK.PS06;AK.S31K;AT.MID;EO.KLRS;NY.MAYO;NY.TGTN;NY.WGLY;PQ.KLONY;PQ.RICHY;PQ.TUKN;YI.QCB01
AK.J19K,39,AK.A19K;AK.A22K;AK.C16K;AK.C18K;AK.C27K;AK.D20K;AK.D22K;AK.DCPH;AK.E18K;AK.E19K;AK.E24K;AK.E27K;AK.F21K;AK.FALS;AK.FYU;AK.G19K;AK.G27K;AK.GAMB;AK.GLB;AK.H21K;AK.J17K;AK.J26L;AK.K13K;AK.K15K;AK.M11K;AK.M14K;AK.M16K;AK.O14K;AK.PAX;AK.PPLA;AK.PS01;AK.PS06;AK.SPIA;AK.TNA;AT.MID;EO.KLRS;NY.MAYO;PQ.KLONY;PQ.RICHY
NM.SCMO,39,4P.MBB03;6E.SB04;GS.DEC08;KY.LLKY;N4.237B;N4.K43A;N4.K50A;N4.L34B;N4.N41A;N4.P38B;N4.P48A;N4.P51A;N4.R32B;N4.R40B;N4.R50A;N4.R53A;N4.V51A;N4.X48A;N4.Z38B;NM.EUAL;NM.WADM;PO.ACTO;US.AMTX;US.ECSD;US.GLMI;WU.TOBO;XI.SC14;XI.SM37;XI.SN44;XO.LE17;XO.MG05;XO.SOKY;XY.PACW;Z9.E31;Z9.W14;Z9.W315;ZL.N06M;ZL.N07A;ZW.AZCF
