rank,network,station,lat,lon,days
228,II,UOSS,24.9453,56.2042,6317
229,IU,TIXI,71.6341,128.8667,10031
230,IN,PBA,11.655733,92.743919,4614
231,YT,WNDY,-82.3695,-119.4135,323
232,EC,MCRA,-4.3697,-79.954399,575
233,N4,K50A,42.7749,-82.6231,4332
234,XK,5190,51.352074,-90.222374,152
235,ZU,TXC24,31.493786,-106.042888,26
236,3E,MEL15,-34.017221,-70.126983,286
237,ZU,FLD53,30.16414,-84.734619,71
238,RM,DLV,11.952,108.481499,4253
239,MH,P0011,-14.000417,-159.5934,628
240,NN,SLVR,37.7414,-117.6143,810
241,N4,R32B,38.4225,-98.7111,4642
242,Y6,MALY,45.793499,-63.355103,697
243,X5,PNGN,66.143471,-65.711548,1058
244,BL,CRTA,-13.43211,-44.58189,50
245,3J,OBS04,-12.90699,-174.27149,619
246,II,EFI,-51.6753,-58.0637,10605
247,BL,NUPA,-20.662781,-47.68594,172
248,ZB,PUTR,2.58091,96.048767,97
249,1P,OHRS,-48.7078,-73.9807,673
250,SR,MAIO,36.299999,59.494499,990
251,CD,KMI,25.123301,102.739998,3395
252,YY,NGLE,5.3316,39.573601,662
253,4P,NDC26,47.845129,-102.105529,15
254,YH,MOHO,-8.1426,39.183201,420
255,Y5,HON,55.080002,-114.050003,1409
256,TJ,GEZN,39.283298,67.715401,2189
257,7B,SB04,-29.3367,145.006104,22
258,YF,N6002,63.53149,9.06231,150
259,JM,CVJB,18.226,-77.535,1059
260,GE,MHV,54.959499,37.766399,2834
261,XA,SA18,-28.632814,24.305628,615
262,VE,PAYV,5.4205,-67.656097,596
263,XJ,PZT,51.466999,156.809998,189
264,XF,H1630,34.065399,84.227402,302
265,ZU,NZ05,-40.6493,167.251007,361
266,ZM,GM02,-79.425102,97.581497,896
267,MP,KAR2,32.5398,44.0224,1761
268,KP,UPNV,72.782898,-56.1395,2892
269,IM,I51H3,32.34124,-64.70222,3990
270,QZ,FDRN,51.26934,51.769418,1593
271,CM,MAP,4.003667,-81.606,272
272,3U,AR2,21.195819,-104.808545,260
273,XS,S38D,1.921838,-12.762288,313
274,A7,CAXIT,-8.553669,13.66417,28
275,EM,PA834,-31.716999,-61.580002,20
276,IC,SSE,31.09455,121.18863,10314
277,YI,QCB01,56.170532,-135.481313,308
278,IU,TARA,1.3549,172.9229,6733
279,PS,CHUK,7.4638,151.8554,878
280,YO,X06,33.6507,-72.205704,361
281,XL,AT13,44.992001,96.270103,659
282,GE,TIRR,44.458099,28.4128,8359
283,DA,URKR,42.1649,47.631,34
284,G,CCD,-75.1065,123.305,5757
285,SR,BCAO,4.4335,18.5354,2938
286,7E,KB03,-16.039301,129.263306,58
287,7B,SA04,-22.941799,140.143997,142
288,YT,RMBO,-83.8714,-66.3959,4255
289,CB,SNY,41.827801,123.578003,3152
290,YT,AGO3,-82.7541,28.581,1837
291,9C,2A11,53.6955,-166.7401,404
292,JP,CBIJ,27.095699,142.184494,2167
293,X2,281,39.6814,110.487,368
294,IU,TATO,24.9735,121.4971,12051
295,XV,SW060,49.53487,78.41968,144
296,XI,SODA,18.292101,42.3769,388
297,YY,OBS57,19.599899,143.400299,46
298,IM,H10S2,-8.9591,-14.64531,4223
299,6H,MAMB,-21.0061,34.959801,84
300,XO,GUA3,13.266417,144.717209,374
301,TW,VNAS,10.3774,114.364998,721
302,AK,J19K,63.994,-155.6214,2407
303,XB,FREI,-62.194698,-58.9841,835
304,XA,S12,-3.01084,-23.42456,2872
305,TM,NAYO,14.3152,101.3209,3715
306,JP,JTM,40.789501,141.064667,4438
307,XR,ST05,31.040247,90.174088,317
308,AP,PVFF,33.39,-112.86,2324
309,7D,J48C,47.129501,-130.650696,285
310,TM,CMAI,19.932507,99.045281,1612
311,XE,RAUL,-19.29986,-60.706451,59
312,XD,MISC,-10.674984,152.784119,121
313,M8,AU52,-33.4865,120.9751,772
314,X8,QMM5,50.8438,-68.798203,1006
315,XV,VATO,-19.3314,48.982399,177
316,YS,PL44,25.5928,-152.765793,393
317,ZV,LORI,32.489201,102.437401,281
318,XO,WD54,56.331433,-149.066665,416
319,IM,I18H7,77.47177,-69.27995,553
320,XW,BCHU,39.793301,78.782501,348
321,XP,MINN,-78.550446,166.880066,292
322,BL,CRJB,-6.1702,-50.154598,555
323,TC,ICC3,5.54345,-87.05687,893
324,XJ,SHO,42.848701,-114.429703,78
325,1K,GIAN,42.25078,11.10161,367
326,3H,G39,-0.9632,-95.7405,445
327,PS,MCSJ,24.29,153.978,4308
328,XW,ESG8,30.011152,-91.177429,40
329,NL,HGN,50.764,5.9317,8437
330,ZF,B001,-84.374199,170.981598,28
331,ZP,KISH,-12.0219,29.612301,367
332,7C,MM17,62.0789,-131.9483,757
333,GE,SOCY,12.18703,53.987419,1056
334,PO,KJKQ,55.2769,-77.7455,128
335,IN,SHL,25.566816,91.855949,4855
336,CA,CFAR,40.5604,0.6614,3467
337,8A,AIAI,-27.915554,17.491323,522
338,ZM,P061,-84.499603,77.223801,1586
339,8A,NEPA,-17.7703,18.4597,757
340,DK,NOR,81.604718,-16.66103,5240
341,XF,ET14,37.737228,15.061717,60
342,XT,B151,12.9915,-67.651299,366
343,YQ,N002,13.54526,39.416191,382
344,IU,PTGA,-0.7308,-59.9666,3260
345,KZ,AB06,49.261101,59.969299,7481
346,BL,PDCB,-12.5306,-39.123798,489
347,ZG,CP19,-13.089,-70.393303,244
348,ZN,SA2G,66.327003,-51.860298,318
349,AT,SMY,52.730801,174.103104,7664
350,8Q,P19,26.723123,-144.689908,445
351,XB,CM11,3.98,13.188,358
352,XW,SS21A,-20.31518,-72.438164,35
353,YT,THUR,-72.5301,-97.5606,5003
354,XJ,TKI,60.44611,166.148788,316
355,4P,WAC06,47.88108,-120.666119,20
